,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate
2016-12-31 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01 00:00:00,0.0,282.17554,77.06418,101258.586,0.0050646216,284.16925,-0.2929795,-2.1905098,0.0
2017-01-01 01:00:00,0.0010302198,283.38492,0.0,101383.875,0.0050372165,283.338,0.9375983,-1.5949373,2.8617217e-07
2017-01-01 02:00:00,0.0,289.1615,0.0,101411.54,0.0051764734,283.44473,2.1665714,-0.9982082,0.0
2017-01-01 03:00:00,0.0,273.8348,0.0,101475.85,0.005415281,283.71506,3.4022377,-0.40416536,0.0
2017-01-01 04:00:00,0.0,274.41736,0.0,101518.06,0.0056166723,283.52377,3.4693425,-0.8573735,0.0
2017-01-01 05:00:00,0.0,267.60593,0.0,101461.0,0.005403615,281.80765,3.538469,-1.3053143,0.0
2017-01-01 06:00:00,0.0,262.75183,0.0,101540.31,0.004907543,281.32663,3.6018293,-1.7624354,0.0
2017-01-01 07:00:00,0.0,262.67014,0.0,101552.43,0.0049805795,281.31873,3.8162146,-1.2275333,0.0
2017-01-01 08:00:00,0.0,260.04153,0.0,101559.31,0.00498311,280.7327,4.0371356,-0.6974018,0.0
2017-01-01 09:00:00,0.0,262.15903,0.0,101525.805,0.0053658974,281.2806,4.2456727,-0.16100964,0.0
2017-01-01 10:00:00,0.0,270.43143,0.0,101487.15,0.0060941684,282.82916,4.3040543,-0.032082397,0.0
2017-01-01 11:00:00,0.0,272.2003,0.0,101499.945,0.006120352,283.24985,4.365684,0.09880215,0.0
2017-01-01 12:00:00,0.0,264.9149,0.0,101443.6,0.005900089,282.91168,4.426253,0.22748959,0.0
2017-01-01 13:00:00,0.0,265.1506,0.0,101419.74,0.0058015087,282.616,4.2133174,-0.04218006,0.0
2017-01-01 14:00:00,0.015625,265.25708,0.0,101415.586,0.005799213,282.20395,4.009763,-0.3178641,4.340278e-06
2017-01-01 15:00:00,0.015625,273.71445,0.0,101399.34,0.0063193687,283.0485,3.805132,-0.5898528,4.340278e-06
2017-01-01 16:00:00,0.0,265.4431,74.73185,101397.47,0.0060822307,282.97256,4.166202,-0.35495254,0.0
2017-01-01 17:00:00,0.0,256.14233,198.55913,101421.09,0.0053939954,282.91187,4.5244207,-0.1254869,0.0
2017-01-01 18:00:00,0.0,263.5446,331.15097,101458.77,0.0052949376,283.1713,4.883635,0.11008227,0.0
2017-01-01 19:00:00,0.0,262.50806,413.63168,101381.6,0.0052876365,283.49948,5.376868,-0.40667596,0.0
