time,prcp,pet
1/1/16 0:00,0,6.62E-08
1/1/16 1:00,0,-1.55E-09
1/1/16 2:00,0,-1.39E-09
1/1/16 3:00,0,-1.67E-09
1/1/16 4:00,0,-1.75E-09
1/1/16 5:00,0,-1.59E-09
1/1/16 6:00,0,-1.51E-09
1/1/16 7:00,0,-1.34E-09
1/1/16 8:00,0,-1.18E-09
1/1/16 9:00,0,-9.78E-10
1/1/16 10:00,0,-1.06E-09
1/1/16 11:00,0,-9.78E-10
1/1/16 12:00,0,-1.10E-09
1/1/16 13:00,0,-1.02E-09
1/1/16 14:00,0,-9.37E-10
1/1/16 15:00,0,-8.56E-10
1/1/16 16:00,0,-2.45E-10
1/1/16 17:00,0,9.78E-10
1/1/16 18:00,0,7.82E-08
1/1/16 19:00,0,1.05E-07
1/1/16 20:00,0,1.22E-07
1/1/16 21:00,0,1.28E-07
1/1/16 22:00,0,1.16E-07
1/1/16 23:00,0,9.25E-08
1/2/16 0:00,0,4.87E-08
1/2/16 1:00,0,-8.56E-10
1/2/16 2:00,0,-6.93E-10
1/2/16 3:00,0,-3.67E-10
1/2/16 4:00,0,-4.48E-10
1/2/16 5:00,0,-6.11E-10
1/2/16 6:00,0,-4.89E-10
1/2/16 7:00,0,-6.11E-10
1/2/16 8:00,0,-7.74E-10
1/2/16 9:00,0,-1.18E-09
1/2/16 10:00,0,-1.43E-09
1/2/16 11:00,0,-1.71E-09
1/2/16 12:00,0,-2.40E-09
1/2/16 13:00,0,-2.53E-09
1/2/16 14:00,0,-2.20E-09
1/2/16 15:00,0,-1.51E-09
1/2/16 16:00,0,-1.10E-09
1/2/16 17:00,0,3.67E-10
1/2/16 18:00,0,4.48E-09
1/2/16 19:00,0,6.03E-08
1/2/16 20:00,0,6.88E-08
1/2/16 21:00,0,8.02E-08
1/2/16 22:00,0,7.80E-08
1/2/16 23:00,0,6.26E-08
1/3/16 0:00,0,4.08E-08
1/3/16 1:00,0,1.34E-09
1/3/16 2:00,0,-3.26E-09
1/3/16 3:00,0,-3.42E-09
1/3/16 4:00,0,-3.79E-09
1/3/16 5:00,0,-4.20E-09
1/3/16 6:00,0,-3.75E-09
1/3/16 7:00,0,-3.75E-09
1/3/16 8:00,0,-3.79E-09
1/3/16 9:00,0,-3.83E-09
1/3/16 10:00,0,-3.87E-09
1/3/16 11:00,0,-3.95E-09
1/3/16 12:00,0,-4.24E-09
1/3/16 13:00,0,-4.03E-09
1/3/16 14:00,0,-3.55E-09
1/3/16 15:00,0,-2.69E-09
1/3/16 16:00,0,-4.08E-10
1/3/16 17:00,0,2.04E-08
1/3/16 18:00,0,5.09E-08
1/3/16 19:00,0,5.75E-08
1/3/16 20:00,0,5.84E-08
1/3/16 21:00,0,4.99E-08
1/3/16 22:00,0,4.16E-08
1/3/16 23:00,0,3.48E-08
1/4/16 0:00,0,2.67E-08
1/4/16 1:00,0.0424,7.62E-09
1/4/16 2:00,0.095,-7.34E-10
1/4/16 3:00,0.012,-5.30E-10
1/4/16 4:00,0.0147,-4.48E-10
1/4/16 5:00,0.0424,-4.89E-10
1/4/16 6:00,0.0028,-5.71E-10
1/4/16 7:00,0,-6.52E-10
1/4/16 8:00,0.0069,-8.56E-10
1/4/16 9:00,0.0002,-1.02E-09
1/4/16 10:00,0.098,-1.34E-09
1/4/16 11:00,0.1144,-1.71E-09
1/4/16 12:00,0.085,-2.00E-09
1/4/16 13:00,0.0924,-2.65E-09
1/4/16 14:00,0.1842,-2.77E-09
1/4/16 15:00,0.2238,-3.34E-09
1/4/16 16:00,0.4508,-7.74E-10
1/4/16 17:00,0,1.93E-08
1/4/16 18:00,0,6.75E-08
1/4/16 19:00,0,8.71E-08
1/4/16 20:00,0,9.53E-08
1/4/16 21:00,0,7.49E-08
1/4/16 22:00,0,6.10E-08
1/4/16 23:00,0,5.67E-08
1/5/16 0:00,0,5.27E-08
1/5/16 1:00,0,1.79E-08
1/5/16 2:00,0,-1.92E-09
1/5/16 3:00,0,-6.93E-10
1/5/16 3:59,0,-6.93E-10
1/5/16 4:59,0,-8.97E-10
1/5/16 5:59,0,-9.78E-10
1/5/16 6:59,0.1256,-9.78E-10
1/5/16 7:59,0.2036,-9.37E-10
1/5/16 8:59,1.4096,-1.39E-09
1/5/16 9:59,0.6618,-1.83E-09
1/5/16 10:59,0.298,-2.16E-09
1/5/16 11:59,2.2876,-2.93E-09
1/5/16 12:59,3.8434,-2.45E-09
1/5/16 13:59,2.7784,-2.00E-09
1/5/16 14:59,2.2856,-1.83E-09
1/5/16 15:59,0.3652,1.22E-10
1/5/16 16:59,0.4192,2.10E-08
1/5/16 17:59,0.4644,4.36E-08
1/5/16 18:59,0.9544,7.08E-08
1/5/16 19:59,1.7324,9.45E-08
1/5/16 20:59,0.9016,1.11E-07
1/5/16 21:59,0.4288,1.11E-07
1/5/16 22:59,0.2932,9.23E-08
1/5/16 23:59,0.1032,5.07E-08
1/6/16 0:59,0.0108,2.08E-08
1/6/16 1:59,0.0072,1.06E-09
1/6/16 2:59,0,-4.08E-10
1/6/16 3:59,0,-6.11E-10
1/6/16 4:59,0,-8.97E-10
1/6/16 5:59,0.425,-4.08E-10
1/6/16 6:59,0,-1.18E-09
1/6/16 7:59,0,-1.71E-09
1/6/16 8:59,0,-1.87E-09
1/6/16 9:59,0,-2.04E-09
1/6/16 10:59,0.0496,-1.92E-09
1/6/16 11:59,1.4832,-2.57E-09
1/6/16 12:59,4.083,-1.63E-09
1/6/16 13:59,4.7508,-8.97E-10
1/6/16 14:59,0.615,-2.28E-09
1/6/16 15:59,0.3256,8.56E-10
1/6/16 16:59,4.064,2.23E-08
1/6/16 17:59,0.43,6.05E-08
1/6/16 18:59,1.2018,9.17E-08
1/6/16 19:59,0.9244,1.12E-07
1/6/16 20:59,1.0256,1.33E-07
1/6/16 21:59,1.338,1.24E-07
1/6/16 22:59,0.358,7.38E-08
1/6/16 23:59,0.0288,5.69E-08
1/7/16 0:59,1.038,5.01E-09
1/7/16 1:59,0.088,1.83E-09
1/7/16 2:59,0.0012,1.71E-09
1/7/16 3:59,0.0164,1.55E-09
1/7/16 4:59,0.3196,1.55E-09
1/7/16 5:59,0.114,2.24E-09
1/7/16 6:59,0.294,2.08E-09
1/7/16 7:59,0.202,1.43E-09
1/7/16 8:59,0.276,-2.85E-10
1/7/16 9:59,0.252,-5.71E-10
1/7/16 10:59,1.7708,-8.15E-11
1/7/16 11:59,0.256,-4.48E-10
1/7/16 12:59,1.51,-2.04E-10
1/7/16 13:59,0.036,-7.74E-10
1/7/16 14:59,0.0724,-7.34E-10
1/7/16 15:59,0.0512,5.30E-10
1/7/16 16:59,0,2.40E-08
1/7/16 17:59,0,6.00E-08
1/7/16 18:59,0,9.83E-08
1/7/16 19:59,0,1.33E-07
1/7/16 20:59,0,1.37E-07
1/7/16 21:59,0,1.27E-07
1/7/16 22:59,0,1.10E-07
1/7/16 23:59,0,7.41E-08
1/8/16 0:59,0,8.80E-09
1/8/16 1:59,0,8.15E-11
1/8/16 2:59,0,-1.26E-09
1/8/16 3:59,0,-1.34E-09
1/8/16 4:59,0,-1.34E-09
1/8/16 5:59,0,-1.55E-09
1/8/16 6:59,0,-1.51E-09
1/8/16 7:59,0,-1.59E-09
1/8/16 8:59,0,-1.63E-09
1/8/16 9:59,0,-1.71E-09
1/8/16 10:59,0,-1.79E-09
1/8/16 11:59,0,-1.79E-09
1/8/16 12:59,0,-1.71E-09
1/8/16 13:59,0,-1.55E-09
1/8/16 14:59,0,-1.26E-09
1/8/16 15:59,0,-4.89E-10
1/8/16 16:59,0,1.43E-09
1/8/16 17:59,0,5.14E-08
1/8/16 18:59,0,7.04E-08
1/8/16 19:59,0,8.46E-08
1/8/16 20:59,0,8.39E-08
