Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
0,2017-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000
1,2017-01-01 01:00:00,0.000000,0.000000,0.000000,0.000000
2,2017-01-01 02:00:00,0.000000,0.000000,0.000000,0.000000
3,2017-01-01 03:00:00,0.000000,0.000000,0.000000,0.000000
4,2017-01-01 04:00:00,0.000000,0.000000,0.000000,0.000000
5,2017-01-01 05:00:00,0.000000,0.000000,0.000000,0.000000
6,2017-01-01 06:00:00,0.000000,0.000000,0.000000,0.000000
7,2017-01-01 07:00:00,0.000000,0.000000,0.000000,0.000000
8,2017-01-01 08:00:00,0.000000,0.000000,0.000000,0.000000
9,2017-01-01 09:00:00,0.000000,0.000000,0.000000,0.000000
10,2017-01-01 10:00:00,0.000000,0.000000,0.000000,0.000000
11,2017-01-01 11:00:00,0.000000,0.000000,0.000000,0.000000
12,2017-01-01 12:00:00,0.000000,0.000000,0.000000,0.000000
13,2017-01-01 13:00:00,0.000000,0.000000,0.000000,0.000000
14,2017-01-01 14:00:00,0.000000,0.000000,0.000000,0.000000
15,2017-01-01 15:00:00,0.000000,0.000000,0.000000,0.000000
16,2017-01-01 16:00:00,0.000000,0.000000,0.000000,0.000000
17,2017-01-01 17:00:00,0.000000,0.000000,0.000000,0.000000
18,2017-01-01 18:00:00,0.000000,0.000000,0.000000,0.000000
19,2017-01-01 19:00:00,0.000000,0.000000,0.000000,0.000000
20,2017-01-01 20:00:00,0.000000,0.000000,0.000000,0.000000
21,2017-01-01 21:00:00,0.000000,0.000000,0.000000,0.000000
22,2017-01-01 22:00:00,0.000000,0.000000,0.000000,0.000000
23,2017-01-01 23:00:00,0.000000,0.000000,0.000000,0.000000
24,2017-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000
25,2017-01-02 01:00:00,0.000000,0.000000,0.000000,0.000000
26,2017-01-02 02:00:00,0.000000,0.000000,0.000000,0.000000
27,2017-01-02 03:00:00,0.000000,0.000000,0.000000,0.000000
28,2017-01-02 04:00:00,0.000000,0.000000,0.000000,0.000000
29,2017-01-02 05:00:00,0.000000,0.000000,0.000000,0.000000
30,2017-01-02 06:00:00,0.000000,0.000000,0.000000,0.000000
31,2017-01-02 07:00:00,0.000000,0.000000,0.000000,0.000000
32,2017-01-02 08:00:00,0.000000,0.000000,0.000000,0.000000
33,2017-01-02 09:00:00,0.000000,0.000000,0.000000,0.000000
34,2017-01-02 10:00:00,0.000000,0.000000,0.000000,0.000000
35,2017-01-02 11:00:00,0.000000,0.000000,0.000000,0.000000
36,2017-01-02 12:00:00,0.000000,0.000000,0.000000,0.000000
37,2017-01-02 13:00:00,0.000000,0.000000,0.000000,0.000000
38,2017-01-02 14:00:00,0.000000,0.000000,0.000000,0.000000
39,2017-01-02 15:00:00,0.000000,0.000000,0.000000,0.000000
40,2017-01-02 16:00:00,0.000000,0.000000,0.000000,0.000000
41,2017-01-02 17:00:00,0.000000,0.000000,0.000000,0.000000
42,2017-01-02 18:00:00,0.000000,0.000000,0.000000,0.000000
43,2017-01-02 19:00:00,0.000000,0.000000,0.000000,0.000000
44,2017-01-02 20:00:00,0.000000,0.000000,0.000000,0.000000
45,2017-01-02 21:00:00,0.000000,0.000000,0.000000,0.000000
46,2017-01-02 22:00:00,0.000000,0.000000,0.000000,0.000000
47,2017-01-02 23:00:00,0.000000,0.000000,0.000000,0.000000
48,2017-01-03 00:00:00,0.000000,0.000000,0.000000,0.000000
49,2017-01-03 01:00:00,0.000000,0.000000,0.000000,0.000000
50,2017-01-03 02:00:00,0.000000,0.000000,0.000000,0.000000
51,2017-01-03 03:00:00,0.000000,0.000000,0.000000,0.000000
52,2017-01-03 04:00:00,0.000000,0.000000,0.000000,0.000000
53,2017-01-03 05:00:00,0.000000,0.000000,0.000000,0.000000
54,2017-01-03 06:00:00,0.000000,0.000000,0.000000,0.000000
55,2017-01-03 07:00:00,0.000000,0.000000,0.000000,0.000000
56,2017-01-03 08:00:00,0.000000,0.000000,0.000000,0.000000
57,2017-01-03 09:00:00,0.000000,0.000000,0.000000,0.000000
58,2017-01-03 10:00:00,0.000000,0.000000,0.000000,0.000000
59,2017-01-03 11:00:00,0.000000,0.000000,0.000000,0.000000
60,2017-01-03 12:00:00,0.000000,0.000000,0.000000,0.000000
61,2017-01-03 13:00:00,0.000000,0.000000,0.000000,0.000000
62,2017-01-03 14:00:00,0.000000,0.000000,0.000000,0.000000
63,2017-01-03 15:00:00,0.000000,0.000000,0.000000,0.000000
64,2017-01-03 16:00:00,0.000000,0.000000,0.000000,0.000000
65,2017-01-03 17:00:00,0.000000,0.000000,0.000000,0.000000
66,2017-01-03 18:00:00,0.000000,0.000000,0.000000,0.000000
67,2017-01-03 19:00:00,0.000000,0.000000,0.000000,0.000000
68,2017-01-03 20:00:00,0.000000,0.000000,0.000000,0.000000
69,2017-01-03 21:00:00,0.000000,0.000000,0.000000,0.000000
70,2017-01-03 22:00:00,0.000000,0.000000,0.000000,0.000000
71,2017-01-03 23:00:00,0.000000,0.000000,0.000000,0.000000
72,2017-01-04 00:00:00,0.000000,0.000000,0.000000,0.000000
73,2017-01-04 01:00:00,0.000000,0.000000,0.000000,0.000000
74,2017-01-04 02:00:00,0.000000,0.000000,0.000000,0.000000
75,2017-01-04 03:00:00,0.000000,0.000000,0.000000,0.000000
76,2017-01-04 04:00:00,0.000000,0.000000,0.000000,0.000000
77,2017-01-04 05:00:00,0.000000,0.000000,0.000000,0.000000
78,2017-01-04 06:00:00,0.000000,0.000000,0.000000,0.000000
79,2017-01-04 07:00:00,0.000000,0.000000,0.000000,0.000000
80,2017-01-04 08:00:00,0.000000,0.000000,0.000000,0.000000
81,2017-01-04 09:00:00,0.000000,0.000000,0.000000,0.000000
82,2017-01-04 10:00:00,0.000000,0.000000,0.000000,0.000000
83,2017-01-04 11:00:00,0.000000,0.000000,0.000000,0.000000
84,2017-01-04 12:00:00,0.000000,0.000000,0.000000,0.000000
85,2017-01-04 13:00:00,0.000000,0.000000,0.000000,0.000000
86,2017-01-04 14:00:00,0.000000,0.000000,0.000000,0.000000
87,2017-01-04 15:00:00,0.000000,0.000000,0.000000,0.000000
88,2017-01-04 16:00:00,0.000000,0.000000,0.000000,0.000000
89,2017-01-04 17:00:00,0.000000,0.000000,0.000000,0.000000
90,2017-01-04 18:00:00,0.000000,0.000000,0.000000,0.000000
91,2017-01-04 19:00:00,0.000000,0.000000,0.000000,0.000000
92,2017-01-04 20:00:00,0.000000,0.000000,0.000000,0.000000
93,2017-01-04 21:00:00,0.000000,0.000000,0.000000,0.000000
94,2017-01-04 22:00:00,0.000000,0.000000,0.000000,0.000000
95,2017-01-04 23:00:00,0.000000,0.000000,0.000000,0.000000
96,2017-01-05 00:00:00,0.000000,0.000000,0.000000,0.000000
97,2017-01-05 01:00:00,0.000000,0.000000,0.000000,0.000000
98,2017-01-05 02:00:00,0.000000,0.000000,0.000000,0.000000
99,2017-01-05 03:00:00,0.000000,0.000000,0.000000,0.000000
100,2017-01-05 04:00:00,0.000000,0.000000,0.000000,0.000000
101,2017-01-05 05:00:00,0.000000,0.000000,0.000000,0.000000
102,2017-01-05 06:00:00,0.000000,0.000000,0.000000,0.000000
103,2017-01-05 07:00:00,0.000000,0.000000,0.000000,0.000000
104,2017-01-05 08:00:00,0.000000,0.000000,0.000000,0.000000
105,2017-01-05 09:00:00,0.000000,0.000000,0.000000,0.000000
106,2017-01-05 10:00:00,0.000000,0.000000,0.000000,0.000000
107,2017-01-05 11:00:00,0.000000,0.000000,0.000000,0.000000
108,2017-01-05 12:00:00,0.000000,0.000000,0.000000,0.000000
109,2017-01-05 13:00:00,0.000000,0.000000,0.000000,0.000000
110,2017-01-05 14:00:00,0.000000,0.000000,0.000000,0.000000
111,2017-01-05 15:00:00,0.000000,0.000000,0.000000,0.000000
112,2017-01-05 16:00:00,0.000000,0.000000,0.000000,0.000000
113,2017-01-05 17:00:00,0.000000,0.000000,0.000000,0.000000
114,2017-01-05 18:00:00,0.000000,0.000000,0.000000,0.000000
115,2017-01-05 19:00:00,0.000000,0.000000,0.000000,0.000000
116,2017-01-05 20:00:00,0.000000,0.000000,0.000000,0.000000
117,2017-01-05 21:00:00,0.000000,0.000000,0.000000,0.000000
118,2017-01-05 22:00:00,0.000000,0.000000,0.000000,0.000000
119,2017-01-05 23:00:00,0.000000,0.000000,0.000000,0.000000
120,2017-01-06 00:00:00,0.000000,0.000000,0.000000,0.000000
121,2017-01-06 01:00:00,0.000000,0.000000,0.000000,0.000000
122,2017-01-06 02:00:00,0.000000,0.000000,0.000000,0.000000
123,2017-01-06 03:00:00,0.000000,0.000000,0.000000,0.000000
124,2017-01-06 04:00:00,0.000000,0.000000,0.000000,0.000000
125,2017-01-06 05:00:00,0.000000,0.000000,0.000000,0.000000
126,2017-01-06 06:00:00,0.000000,0.000000,0.000000,0.000000
127,2017-01-06 07:00:00,0.000000,0.000000,0.000000,0.000000
128,2017-01-06 08:00:00,0.000000,0.000000,0.000000,0.000000
129,2017-01-06 09:00:00,0.000000,0.000000,0.000000,0.000000
130,2017-01-06 10:00:00,0.000000,0.000000,0.000000,0.000000
131,2017-01-06 11:00:00,0.000000,0.000000,0.000000,0.000000
132,2017-01-06 12:00:00,0.000000,0.000000,0.000000,0.000000
133,2017-01-06 13:00:00,0.000000,0.000000,0.000000,0.000000
134,2017-01-06 14:00:00,0.000000,0.000000,0.000000,0.000000
135,2017-01-06 15:00:00,0.000000,0.000000,0.000000,0.000000
136,2017-01-06 16:00:00,0.000000,0.000000,0.000000,0.000000
137,2017-01-06 17:00:00,0.000000,0.000000,0.000000,0.000000
138,2017-01-06 18:00:00,0.000000,0.000000,0.000000,0.000000
139,2017-01-06 19:00:00,0.000000,0.000000,0.000000,0.000000
140,2017-01-06 20:00:00,0.000000,0.000000,0.000000,0.000000
141,2017-01-06 21:00:00,0.000000,0.000000,0.000000,0.000000
142,2017-01-06 22:00:00,0.000000,0.000000,0.000000,0.000000
143,2017-01-06 23:00:00,0.000000,0.000000,0.000000,0.000000
144,2017-01-07 00:00:00,0.000000,0.000000,0.000000,0.000000
145,2017-01-07 01:00:00,0.000000,0.000000,0.000000,0.000000
146,2017-01-07 02:00:00,0.000000,0.000000,0.000000,0.000000
147,2017-01-07 03:00:00,0.000000,0.000000,0.000000,0.000000
148,2017-01-07 04:00:00,0.000000,0.000000,0.000000,0.000000
149,2017-01-07 05:00:00,0.000000,0.000000,0.000000,0.000000
150,2017-01-07 06:00:00,0.000000,0.000000,0.000000,0.000000
151,2017-01-07 07:00:00,0.000000,0.000000,0.000000,0.000000
152,2017-01-07 08:00:00,0.000000,0.000000,0.000000,0.000000
153,2017-01-07 09:00:00,0.000000,0.000000,0.000000,0.000000
154,2017-01-07 10:00:00,0.000000,0.000000,0.000000,0.000000
155,2017-01-07 11:00:00,0.000000,0.000000,0.000000,0.000000
156,2017-01-07 12:00:00,0.000000,0.000000,0.000000,0.000000
157,2017-01-07 13:00:00,0.000000,0.000000,0.000000,0.000000
158,2017-01-07 14:00:00,0.000000,0.000000,0.000000,0.000000
159,2017-01-07 15:00:00,0.000000,0.000000,0.000000,0.000000
160,2017-01-07 16:00:00,0.000000,0.000000,0.000000,0.000000
161,2017-01-07 17:00:00,0.000000,0.000000,0.000000,0.000000
162,2017-01-07 18:00:00,0.000000,0.000000,0.000000,0.000000
163,2017-01-07 19:00:00,0.000000,0.000000,0.000000,0.000000
164,2017-01-07 20:00:00,0.000000,0.000000,0.000000,0.000000
165,2017-01-07 21:00:00,0.000000,0.000000,0.000000,0.000000
166,2017-01-07 22:00:00,0.000000,0.000000,0.000000,0.000000
