,time,preci,pet
2016-01-01 00:00:00,2016-01-01 00:00:00,0.0,0.00013792666666666666
2016-01-01 01:00:00,2016-01-01 01:00:00,0.0,6.873333333333333e-05
2016-01-01 02:00:00,2016-01-01 02:00:00,0.0,6.873333333333333e-05
2016-01-01 03:00:00,2016-01-01 03:00:00,0.0,6.873333333333333e-05
2016-01-01 04:00:00,2016-01-01 04:00:00,0.0,6.301999999999999e-05
2016-01-01 05:00:00,2016-01-01 05:00:00,0.0,6.301999999999999e-05
2016-01-01 06:00:00,2016-01-01 06:00:00,0.0,6.301999999999999e-05
2016-01-01 07:00:00,2016-01-01 07:00:00,0.0,5.191333333333333e-05
2016-01-01 08:00:00,2016-01-01 08:00:00,0.0,5.191333333333333e-05
2016-01-01 09:00:00,2016-01-01 09:00:00,0.0,5.191333333333333e-05
2016-01-01 10:00:00,2016-01-01 10:00:00,0.0,4.488666666666667e-05
2016-01-01 11:00:00,2016-01-01 11:00:00,0.0,4.488666666666667e-05
2016-01-01 12:00:00,2016-01-01 12:00:00,0.0,4.488666666666667e-05
2016-01-01 13:00:00,2016-01-01 13:00:00,0.0,5.379999999999999e-05
2016-01-01 14:00:00,2016-01-01 14:00:00,0.0,5.379999999999999e-05
2016-01-01 15:00:00,2016-01-01 15:00:00,0.0,5.379999999999999e-05
2016-01-01 16:00:00,2016-01-01 16:00:00,0.0,7.310666666666667e-05
2016-01-01 17:00:00,2016-01-01 17:00:00,0.0,7.310666666666667e-05
2016-01-01 18:00:00,2016-01-01 18:00:00,0.0,7.310666666666667e-05
2016-01-01 19:00:00,2016-01-01 19:00:00,0.0,0.00014764666666666667
2016-01-01 20:00:00,2016-01-01 20:00:00,0.0,0.00014764666666666667
2016-01-01 21:00:00,2016-01-01 21:00:00,0.0,0.00014764666666666667
2016-01-01 22:00:00,2016-01-01 22:00:00,0.0,0.00012002666666666666
2016-01-01 23:00:00,2016-01-01 23:00:00,0.0,0.00012002666666666666
2016-01-02 00:00:00,2016-01-02 00:00:00,0.0,0.00012002666666666666
2016-01-02 01:00:00,2016-01-02 01:00:00,0.0,3.236666666666666e-05
2016-01-02 02:00:00,2016-01-02 02:00:00,0.0,3.236666666666666e-05
2016-01-02 03:00:00,2016-01-02 03:00:00,0.0,3.236666666666666e-05
2016-01-02 04:00:00,2016-01-02 04:00:00,0.0,2.552666666666666e-05
2016-01-02 05:00:00,2016-01-02 05:00:00,0.0,2.552666666666666e-05
2016-01-02 06:00:00,2016-01-02 06:00:00,0.0,2.552666666666666e-05
2016-01-02 07:00:00,2016-01-02 07:00:00,0.0,3.755333333333334e-05
2016-01-02 08:00:00,2016-01-02 08:00:00,0.0,3.755333333333334e-05
